Recipe ID,Recipe Name,Category,Meal Type,Diet Type,Fitness Goals,Calories,Protein,Carbohydrates,Fat,Fiber,Prep Time,Cook Time,Difficulty,Cost Level,Equipment,Hostel Friendly,Home Friendly,Regional Tag,ZITLAS Original
ZITLAS-REC-0391,ZITLAS Overnight Mango Oats,Breakfast,Breakfast,Vegetarian,General Fitness,290,10.6,46.0,8.0,5.3,480,0,Easy,Moderate,No-cook,Yes,Yes,,No
ZITLAS-REC-0392,ZITLAS Besan Pancake Stack with Curd,Breakfast,Breakfast,Vegetarian,Weight Loss,281,13.8,32.8,11.6,5.4,8,10,Easy,Budget,Tawa,Yes,Yes,,Yes
ZITLAS-REC-0393,ZITLAS Sweet Ragi Pancake with Jaggery Syrup,Breakfast,Breakfast,Vegetarian,General Fitness,286,6.6,51.1,7.5,7.0,8,8,Easy,Budget,Tawa,No,Yes,,Yes
ZITLAS-REC-0394,ZITLAS Sweet Foxtail Millet Porridge with Dates,Breakfast,Breakfast,Vegetarian,General Fitness,316,11.8,50.6,8.4,4.8,5,15,Easy,Moderate,Kadai,No,Yes,,Yes
ZITLAS-REC-0395,ZITLAS Lauki Halwa Protein Bowl,Breakfast,Breakfast; Dessert,Vegetarian,Weight Loss,181,4.0,23.9,8.9,3.4,10,15,Moderate,Moderate,Kadai,No,Yes,,Yes
ZITLAS-REC-0396,ZITLAS Gajar Halwa Protein Bowl,Breakfast,Breakfast; Dessert,Vegetarian,General Fitness,202,5.0,20.5,12.1,4.2,10,18,Moderate,Moderate,Kadai,No,Yes,,Yes
ZITLAS-REC-0397,ZITLAS Paneer Stuffed Baked Sweet Potato,Breakfast,Breakfast,Vegetarian,Muscle Gain; General Fitness,340,13.4,32.5,17.2,4.8,8,25,Moderate,Moderate,Oven,No,Yes,,Yes
ZITLAS-REC-0398,ZITLAS Roasted Chickpea and Pumpkin Seed Trail Mix,Breakfast,Breakfast,Vegan,Muscle Gain; General Fitness,177,9.6,13.0,10.8,4.2,4,0,Easy,Moderate,No-cook,Yes,Yes,,No
ZITLAS-REC-0399,ZITLAS Flax and Chia Energy Bites,Breakfast,Breakfast,Vegan,General Fitness,483,10.8,77.1,19.1,21.3,15,0,Easy,Moderate,No-cook,Yes,Yes,,Yes
ZITLAS-REC-0400,ZITLAS Coconut Water Chia Pudding,Breakfast,Breakfast,Vegan,Weight Loss,131,4.7,15.1,6.6,8.8,5,0,Easy,Moderate,No-cook,Yes,Yes,,No
